iter	Passed	Remaining
960	6899	279
961	6905	272
962	6912	265
963	6919	258
964	6926	251
965	6932	244
966	6939	236
967	6946	229
968	6953	222
969	6960	215
970	6967	208
971	6974	200
972	6981	193
973	6988	186
974	6995	179
975	7002	172
976	7009	165
977	7016	157
978	7022	150
979	7029	143
980	7036	136
981	7042	129
982	7050	121
983	7056	114
984	7063	107
985	7070	100
986	7077	93
987	7084	86
988	7091	78
989	7097	71
990	7104	64
991	7111	57
992	7118	50
993	7125	43
994	7132	35
995	7139	28
996	7146	21
997	7152	14
998	7159	7
999	7166	0
